UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;HOMBRES;MUJERES;TOTAL;V201;V202;V203;V204;V205;V206;V207;FEX
19;4;1;2021;1;0;1;2;1;3;5;7;5;2;1;1;1;588
19;6;1;2021;1;0;1;2;5;7;5;6;6;2;1;1;1;739
19;11;1;2021;1;0;1;2;1;3;5;4;3;2;1;1;1;553
19;19;1;2021;1;0;1;2;2;4;4;4;3;4;1;1;1;741
19;20;1;2021;1;0;1;2;2;4;4;1;1;2;1;1;1;461
74;7;1;2021;1;0;1;2;1;3;5;3;2;4;1;1;1;835
74;26;1;2021;1;0;1;1;1;2;5;4;2;2;1;1;1;755
74;44;1;2021;1;0;1;4;5;9;5;6;5;2;1;1;1;666
74;56;1;2021;1;0;1;0;1;1;5;3;2;2;1;1;1;998
74;60;1;2021;1;0;1;0;2;2;5;6;3;4;1;1;1;573
74;67;1;2021;1;0;1;1;1;2;5;5;1;2;1;1;1;514
183;2;1;2021;1;0;1;1;2;3;5;3;2;2;1;1;1;588
183;11;1;2021;1;0;1;3;1;4;5;4;3;2;1;1;1;955
183;17;1;2021;1;0;1;1;2;3;5;3;2;2;1;1;1;785
183;27;1;2021;1;0;1;3;1;4;4;5;4;2;1;1;1;566
183;46;1;2021;1;0;1;1;2;3;5;3;2;2;1;1;1;457
183;47;1;2021;1;0;1;2;2;4;5;2;2;2;1;1;1;858
183;48;1;2021;1;0;1;1;1;2;5;5;3;2;1;1;1;398
222;2;1;2021;1;0;1;2;2;4;4;3;2;4;1;1;2;478
222;3;1;2021;1;0;1;2;1;3;5;2;2;3;1;1;1;341
222;8;1;2021;1;0;1;3;2;5;5;4;3;2;1;1;3;433
222;12;1;2021;1;0;1;4;1;5;5;4;2;2;1;1;1;647
222;19;1;2021;1;0;1;1;3;4;5;3;2;2;1;1;1;385
222;36;1;2021;1;0;1;4;2;6;5;2;2;2;1;1;1;383
222;38;1;2021;1;0;1;2;2;4;4;4;2;3;1;1;1;318
222;41;1;2021;1;0;1;2;5;7;4;3;3;4;1;1;1;367
222;43;1;2021;1;0;1;2;2;4;5;4;2;2;1;1;1;378
274;1;1;2021;1;0;1;2;4;6;5;3;2;2;1;1;1;587
274;8;1;2021;1;0;1;0;4;4;5;4;3;2;1;1;1;589
274;23;1;2021;1;0;1;1;1;2;5;2;1;4;1;1;3;1298
274;25;1;2021;1;0;1;0;4;4;5;5;3;2;1;1;1;538
274;28;1;2021;1;0;1;4;3;7;5;3;2;4;1;1;1;780
327;6;1;2021;1;0;1;4;1;5;2;1;1;3;1;1;7;1110
327;13;1;2021;1;0;1;2;2;4;3;2;2;1;1;1;4;648
327;54;1;2021;1;0;1;4;1;5;4;1;1;3;1;1;3;1412
327;68;1;2021;1;0;1;2;1;3;1;1;1;4;1;1;6;1430
327;70;1;2021;1;0;1;3;2;5;1;3;2;3;3;1;6;1138
327;83;1;2021;1;0;1;3;2;5;1;1;1;1;1;1;5;1197
327;89;1;2021;1;0;1;4;1;5;1;2;2;3;3;1;7;929
327;95;1;2021;1;0;1;0;1;1;1;1;1;1;1;1;3;1330
327;100;1;2021;1;0;1;1;2;3;1;2;1;3;1;1;2;1077
486;15;1;2021;1;0;1;2;1;3;5;4;3;2;1;1;1;1149
486;22;1;2021;1;0;1;3;3;6;5;6;4;2;1;1;1;1011
486;27;1;2021;1;0;1;4;4;8;5;6;6;2;1;1;1;1266
621;5;1;2021;1;0;1;1;1;2;5;3;3;2;1;1;1;695
621;10;1;2021;1;0;1;1;2;3;5;3;2;2;1;1;1;654
621;18;1;2021;1;0;1;0;1;1;5;3;1;2;1;1;1;836
621;27;1;2021;1;0;1;1;3;4;5;5;3;2;1;1;1;995
621;38;1;2021;1;0;1;3;1;4;5;7;3;4;1;1;1;985
621;48;1;2021;1;0;1;2;3;5;5;2;1;2;1;1;1;991
622;12;1;2021;1;0;1;1;2;3;5;5;3;2;1;1;1;453
622;16;1;2021;1;0;1;0;3;3;3;2;2;2;1;1;1;444
622;19;1;2021;1;0;1;1;1;2;5;4;2;2;2;1;1;588
622;23;1;2021;1;0;1;1;3;4;5;4;2;2;5;1;2;504
622;27;1;2021;1;0;1;1;1;2;5;4;2;2;1;1;1;432
622;28;1;2021;1;0;1;2;3;5;5;6;3;2;1;1;1;444
622;37;1;2021;1;0;1;0;4;4;5;6;4;2;1;1;1;360
622;38;1;2021;1;0;1;4;2;6;5;5;3;2;1;1;1;532
805;11;1;2021;1;0;1;2;1;3;5;3;2;4;1;1;1;702
805;25;1;2021;1;0;1;1;1;2;5;3;2;4;1;1;2;847
805;28;1;2021;1;0;1;2;1;3;5;2;2;4;1;1;1;1011
805;36;1;2021;1;0;1;3;1;4;5;2;1;2;1;1;1;1075
805;38;1;2021;1;0;1;1;1;2;5;3;2;2;1;1;1;1019
805;51;1;2021;1;0;1;0;2;2;6;3;2;4;1;1;1;869
853;1;1;2021;1;0;1;3;5;8;5;5;4;3;1;1;4;388
853;3;1;2021;1;0;1;2;3;5;5;3;2;2;1;1;4;461
853;10;1;2021;1;0;1;2;1;3;4;2;1;4;1;1;4;665
853;22;1;2021;1;0;1;1;3;4;9;3;2;3;1;1;4;416
853;28;1;2021;1;0;1;1;4;5;8;4;3;2;1;1;1;505
853;38;1;2021;1;0;1;3;3;6;2;5;3;2;1;1;1;611
853;53;1;2021;1;0;1;1;1;2;5;2;1;4;1;1;1;477
853;70;1;2021;1;0;1;3;2;5;5;3;2;2;1;1;1;567
853;80;1;2021;1;0;1;1;2;3;5;1;1;4;1;6; ;328
885;8;1;2021;1;0;1;3;4;7;6;11;7;2;1;1;1;1259
895;13;1;2021;1;0;1;1;2;3;5;4;3;2;1;1;1;927
895;16;1;2021;1;0;1;1;1;2;6;4;1;2;1;1;1;1722
895;22;1;2021;1;0;1;1;1;2;5;5;4;2;1;1;1;606
901;10;1;2021;1;0;1;4;1;5;4;3;2;2;1;1;1;1257
901;11;1;2021;1;0;1;3;2;5;4;4;3;3;1;1;1;604
901;29;1;2021;1;0;1;4;2;6;5;4;3;2;1;1;1;824
901;31;1;2021;1;0;1;2;2;4;5;4;3;2;1;1;1;669
901;36;1;2021;1;0;1;2;2;4;4;2;1;4;1;1;1;755
901;41;1;2021;1;0;1;1;1;2;1;1;1;3;1;1;1;472
901;57;1;2021;1;0;1;0;2;2;5;1;1;4;1;1;1;195
920;25;1;2021;1;0;1;4;4;8;5;4;2;2;1;1;2;1512
920;33;1;2021;1;0;1;4;6;10;5;6;3;2;1;1;1;1174
1027;9;1;2021;1;0;1;5;1;6;5;3;2;2;1;1;1;1142
1027;21;1;2021;1;0;1;2;2;4;5;4;3;2;1;1;2;602
1027;26;1;2021;1;0;1;2;2;4;5;3;2;2;1;1;1;465
1027;30;1;2021;1;0;1;1;1;2;5;4;2;2;1;1;1;534
1027;34;1;2021;1;0;1;0;1;1;5;1;1;4;1;1;1;207
1027;38;1;2021;1;0;1;0;1;1;5;2;1;7;1;1;1;970
1030;8;1;2021;1;0;1;4;1;5;5;5;3;2;1;1;1;566
1030;16;1;2021;1;0;1;2;3;5;5;4;3;2;1;1;2;439
1030;19;1;2021;1;0;1;3;2;5;4;1;1;2;1;1;2;418
1030;20;1;2021;1;0;1;6;2;8;5;6;6;2;1;1;2;542
1030;21;1;2021;1;0;1;4;3;7;5;5;4;2;1;1;1;449
1030;27;1;2021;1;0;1;2;2;4;5;5;3;4;1;1;1;460
1030;29;1;2021;1;0;1;1;1;2;5;3;2;2;1;1;1;390
1030;43;1;2021;1;0;1;2;4;6;5;3;2;2;1;1;2;347
1030;46;1;2021;1;0;1;2;6;8;5;4;3;2;1;1;1;312
1030;48;1;2021;1;0;1;2;3;5;5;5;3;2;1;1;1;393
1159;14;1;2021;1;0;1;0;1;1;5;4;1;2;1;1;2;451
1159;19;1;2021;1;0;1;1;2;3;5;5;4;2;1;1;2;439
1159;23;1;2021;1;0;1;3;2;5;5;3;2;2;1;1;2;471
1159;34;1;2021;1;0;1;1;3;4;5;6;5;2;1;1;2;324
1159;37;1;2021;1;0;1;4;1;5;5;5;3;2;1;1;2;622
1159;53;1;2021;1;0;1;2;1;3;5;4;2;2;1;1;2;451
1159;59;1;2021;1;0;1;1;4;5;5;5;3;2;1;1;3;404
1186;6;1;2021;1;0;1;1;3;4;5;9;6;2;1;1;2;616
1186;26;1;2021;1;0;1;1;2;3;5;6;2;2;1;1;2;781
1186;34;1;2021;1;0;1;2;1;3;5;5;3;2;1;1;1;848
1186;48;1;2021;1;0;1;1;1;2;5;3;2;2;1;1;2;669
1186;54;1;2021;1;0;1;2;2;4;5;1;1;4;1;1;2;854
1186;57;1;2021;1;0;1;4;3;7;5;3;3;2;1;1;2;625
1291;4;1;2021;1;0;1;2;3;5;5;6;4;2;1;1;2;1410
1291;41;1;2021;1;0;1;2;2;4;5;5;3;2;1;1;2;1732
1291;64;1;2021;1;0;1;0;1;1;5;2;1;4;1;1;2;590
1291;65;1;2021;1;0;1;1;1;2;6;5;3;4;1;1;1;2226
