UPM;NVIVI;NHOGA;L02;ANIO;AREA;DPTOV;ESTGEO;P102;P104;P105;P106D;P106M;P106A;ED302;ED303;ED304;ED305;A402;A403;A406;A407;E408A;E408B;E408C;E408D;E408E;E408F;E408FC;E408G;E408H;E408I;E408J;E408K;E408L;E408T;A404;A405;anio_estudio;FEX
28211;4;1;1;2021;1;15;2;1;1;55;14;9;1966;1;1;3;6;1; ;2; ;2500000;0;0;0;0;0; ;0;0;0;0;0;0;2500000;7;2;12;770
28211;4;1;2;2021;1;15;2;2;6;42;14;9;1979;1;1;6;4;6;11; ;1;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;6;770
28211;4;1;3;2021;1;15;2;3;1;24;11;8;1997;1;1;3;6;1; ;2; ;2500000;0;0;0;0;0; ;0;0;0;0;0;0;2500000;8;2;12;770
28211;4;1;4;2021;1;15;2;3;1;7;19;10;2014;1;1;12;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;770
28211;4;1;5;2021;1;15;2;3;6;28;19;6;1993;1;1;3;6;1; ;2; ;2500000;0;0;0;0;0; ;0;0;0;0;0;0;2500000;4;5;12;770
28211;4;1;6;2021;1;15;2;5;6;5;31;1;2016;6;1;11;2; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;770
28211;8;1;1;2021;1;15;2;1;6;54;2;2;1967;1;1;2;17;6;11; ;1;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;14;920
28211;8;1;2;2021;1;15;2;3;6;30;8;10;1991;1;1;4;17;1; ;1; ;3000000;0;0;0;0;0; ;0;0;0;0;0;0;3000000;2;8;16;920
28211;8;1;3;2021;1;15;2;5;1;2;13;9;2019; ; ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;920
28211;8;1;4;2021;1;15;2;3;6;26;17;9;1995;1;1;5;17;6;9; ;1;0;0;0;0;0;0; ;200000;0;0;0;0;0;200000; ; ;17;920
28211;8;1;5;2021;1;15;2;5;1;3;8;7;2018; ; ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;920
28211;8;1;6;2021;1;15;2;3;1;22;6;7;1999;1;1;2;17;6;9; ;6;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;14;920
28211;8;1;7;2021;1;15;2;5;6;5;29;10;2016;6;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;920
28211;16;1;1;2021;1;15;2;1;1;56;30;3;1965;1;1;2;16;1; ;1; ;6000000;0;0;0;0;0; ;0;0;0;0;0;0;6000000;10;8;14;1333
28211;16;1;2;2021;1;15;2;2;6;48;20;11;1972;1;1;3;6;6;11; ;6;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;12;1333
28211;16;1;3;2021;1;15;2;3;1;29;16;10;1992;1;1;1;17;1; ;2; ;2200000;0;0;0;0;0; ;0;0;0;0;0;0;2200000;7;2;13;1333
28211;16;1;4;2021;1;15;2;3;1;21;29;5;2000;1;1;1;17;1; ;2; ;2200000;0;0;0;0;0; ;0;0;0;0;0;0;2200000;7;2;13;1333
28211;16;1;5;2021;1;15;2;3;1;11;20;4;2010;1;1;4;4; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;4;1333
28211;19;1;1;2021;1;15;2;1;6;57;2;6;1964;1;1;3;14;1; ;1; ;99999999999;0;0;0;0;0; ;0;0;0;0;0;0;0;2;8;15;694
28211;19;1;2;2021;1;15;2;2;1;57;25;8;1964;1;1;6;4;1; ;4; ;99999999999;0;0;0;0;0; ;0;0;0;0;0;0;0;7;2;6;694
28211;19;1;3;2021;1;15;2;3;1;23;22;9;1998;1;1;3;17;1; ;2; ;99999999999;0;0;0;0;0; ;0;0;0;0;0;0;0;1;6;15;694
28211;19;1;4;2021;1;15;2;3;6;32;12;10;1989;1;1;1;17;6;11; ;1;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;13;694
28211;19;1;5;2021;1;15;2;5;6;6;1;1;2015;1;6;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;694
28211;29;1;1;2021;1;15;2;1;1;36;5;3;1985;1;1;3;6;1; ;2; ;2300000;0;0;0;0;0; ;0;0;0;0;0;0;2300000;7;2;12;861
28211;29;1;2;2021;1;15;2;2;6;31;5;3;1990;1;1;3;6;6;11; ;6;0;0;0;0;0;0; ;0;0;0;0;0;0;0; ; ;12;861
28211;29;1;3;2021;1;15;2;3;1;3;24;2;2018; ; ;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;0;861
