UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;L07A;P701C;P702;P702SEXO;P703;P704;P705;P706;FEX_MUJER
19;4;1;2021;1;0;1;1;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;2;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;3;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;4;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;5;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;6;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;7;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;8;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;9;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;10;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;11;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;12;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;13;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;14;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;15;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;16;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;17;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;18;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;19;6; ; ; ; ; ; ;459
19;4;1;2021;1;0;1;20;6; ; ; ; ; ; ;459
19;6;1;2021;1;0;1;1;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;2;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;3;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;4;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;5;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;6;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;7;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;8;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;9;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;10;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;11;6; ; ; ; ; ; ;2343
19;6;1;2021;1;0;1;12;6; ; ; ; ; ; ;2343
