UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P801;P802;P803;P804;FEX_MUJER
19;4;1;2021;1;0;1;3;3;3;3;459
19;6;1;2021;1;0;1;3;3;3;3;2343
19;11;1;2021;1;0;1;3;3;1;1;416
19;19;1;2021;1;0;1;3;3;3;3;1310
19;20;1;2021;1;0;1;3;3;3;3;543
74;7;1;2021;1;0;1;3;3;1;1;597
74;26;1;2021;1;0;1;3;1;3;3;597
74;44;1;2021;1;0;1;1;2;2;2;2821
74;56;1;2021;1;0;1;3;1;3;1;796
74;60;1;2021;1;0;1;3;1;3;1;1412
74;67;1;2021;1;0;1;1;1;3;3;597
183;2;1;2021;1;0;1;3;3;3;3;945
183;11;1;2021;1;0;1;3;3;3;3;504
183;17;1;2021;1;0;1;3;3;3;3;1113
183;27;1;2021;1;0;1;3;3;2;2;316
183;46;1;2021;1;0;1;3;3;1;3;633
183;47;1;2021;1;0;1;3;3;1;1;445
183;48;1;2021;1;0;1;2;2;3;3;316
222;2;1;2021;1;0;1;3;3;3;1;260
222;3;1;2021;1;0;1;3;3;3;3;193
222;8;1;2021;1;0;1;3;1;1;1;330
222;12;1;2021;1;0;1;3;3;3;3;260
222;19;1;2021;1;0;1;2;2;1;2;232
222;36;1;2021;1;0;1;3;3;3;3;464
222;38;1;2021;1;0;1;2;2;3;1;482
222;41;1;2021;1;0;1;3;3;3;3;520
222;43;1;2021;1;0;1;3;3;3;3;463
274;1;1;2021;1;0;1;3;3;1;3;1270
274;8;1;2021;1;0;1;3;3;3;3;3622
274;23;1;2021;1;0;1;3;3;3;3;751
274;25;1;2021;1;0;1;3;3;3;3;2460
274;28;1;2021;1;0;1;3;3;3;3;2254
327;6;1;2021;1;0;1;3;1;1;1;673
327;13;1;2021;1;0;1;1;1;1;1;505
327;54;1;2021;1;0;1;2;2;3;1;673
327;68;1;2021;1;0;1;3;1;1;3;597
327;70;1;2021;1;0;1;1;2;2;2;575
327;83;1;2021;1;0;1;3;3;3;3;477
327;89;1;2021;1;0;1;3;3;3;1;597
327;95;1;2021;1;0;1;3;3;1;1;622
327;100;1;2021;1;0;1;3;1;2;2;644
486;15;1;2021;1;0;1;3;3;3;3;1611
486;22;1;2021;1;0;1;3;3;2;2;4305
486;27;1;2021;1;0;1;3;3;3;3;5764
621;5;1;2021;1;0;1;3;3;1;3;550
621;10;1;2021;1;0;1;3;1;1;3;1419
