UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P901;P902;P903;P904;P905;P906;P907;P908;P909;P910;P911;P912;P913;P914;P915;P916;P917;P918;P919;P920;P921;P922;P923;P924;P925;P926;P927;P928;P929;P930;P931;P932;P933;P934;P935;P936;P937;P938;P939;P940;P941;P942;P943;P944;P945;P946;FEX_MUJER
19;4;1;2021;1;0;1;1;45;17;1; ; ;1;3;5;18;0;5;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;459
19;6;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;2;16;1;18;6; ;1;22;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2343
19;11;1;2021;1;0;1;1;41;29;1; ; ;4;1;3;30;1;3;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;416
19;19;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1310
19;20;1;2021;1;0;1;2;10;18;1; ; ;4;3;2;18;2;2;1;3;1;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;543
74;7;1;2021;1;0;1;2;31;26;1; ; ;1;1;2;30;1;2;3;3;3;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
74;26;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;7;17;1;18;6; ;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
74;44;1;2021;1;0;1;1;36;17;1; ; ;1;3;4;19;4;4;1;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2821
74;56;1;2021;1;0;1;5; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1;1;17;4;1; ;1;19;0;0;3;3;1;8;796
74;60;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6;1;1;22;1;22;6; ;0; ; ; ; ; ;8;8; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1412
74;67;1;2021;1;0;1;1;36;28;2;25;4;4;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
183;2;1;2021;1;0;1;1;21;30;1; ; ;4;1;1;30;1;1;3;3;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;945
183;11;1;2021;1;0;1;1;23;23;1; ; ;4;1;2;24;2;2;3;1;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;504
183;17;1;2021;1;0;1;7; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1; ;2;17;1;17;1;1;0; ; ; ; ; ;3;3; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1113
