UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;L1005;P1005;P1006;FEX_MUJER
19;6;1;2021;1;0;1;1;6; ;2343
19;6;1;2021;1;0;1;2;6; ;2343
19;6;1;2021;1;0;1;3;6; ;2343
19;6;1;2021;1;0;1;4;6; ;2343
19;6;1;2021;1;0;1;5;6; ;2343
19;6;1;2021;1;0;1;6;1;6;2343
74;26;1;2021;1;0;1;1;6; ;597
74;26;1;2021;1;0;1;2;6; ;597
74;26;1;2021;1;0;1;3;6; ;597
74;26;1;2021;1;0;1;4;6; ;597
74;26;1;2021;1;0;1;5;6; ;597
74;26;1;2021;1;0;1;6;6; ;597
74;60;1;2021;1;0;1;1;6; ;1412
74;60;1;2021;1;0;1;2;6; ;1412
74;60;1;2021;1;0;1;3;6; ;1412
74;60;1;2021;1;0;1;4;6; ;1412
74;60;1;2021;1;0;1;5;6; ;1412
74;60;1;2021;1;0;1;6;6; ;1412
183;27;1;2021;1;0;1;1;6; ;316
183;27;1;2021;1;0;1;2;6; ;316
183;27;1;2021;1;0;1;3;6; ;316
183;27;1;2021;1;0;1;4;6; ;316
183;27;1;2021;1;0;1;5;6; ;316
183;27;1;2021;1;0;1;6;6; ;316
222;38;1;2021;1;0;1;1;6; ;482
222;38;1;2021;1;0;1;2;1;1;482
222;38;1;2021;1;0;1;3;6; ;482
222;38;1;2021;1;0;1;4;6; ;482
222;38;1;2021;1;0;1;5;6; ;482
222;38;1;2021;1;0;1;6;1;1;482
222;41;1;2021;1;0;1;1;1;6;520
222;41;1;2021;1;0;1;2;1;6;520
222;41;1;2021;1;0;1;3;6; ;520
222;41;1;2021;1;0;1;4;6; ;520
222;41;1;2021;1;0;1;5;6; ;520
222;41;1;2021;1;0;1;6;1;6;520
222;43;1;2021;1;0;1;1;6; ;463
222;43;1;2021;1;0;1;2;1;6;463
222;43;1;2021;1;0;1;3;6; ;463
222;43;1;2021;1;0;1;4;6; ;463
222;43;1;2021;1;0;1;5;6; ;463
222;43;1;2021;1;0;1;6;6; ;463
274;1;1;2021;1;0;1;1;6; ;1270
274;1;1;2021;1;0;1;2;6; ;1270
274;1;1;2021;1;0;1;3;6; ;1270
274;1;1;2021;1;0;1;4;1;6;1270
274;1;1;2021;1;0;1;5;6; ;1270
274;1;1;2021;1;0;1;6;6; ;1270
274;25;1;2021;1;0;1;1;1;1;2460
274;25;1;2021;1;0;1;2;1;1;2460
274;25;1;2021;1;0;1;3;1;1;2460
274;25;1;2021;1;0;1;4;1;1;2460
274;25;1;2021;1;0;1;5;6; ;2460
274;25;1;2021;1;0;1;6;6; ;2460
274;28;1;2021;1;0;1;1;6; ;2254
274;28;1;2021;1;0;1;2;1;6;2254
274;28;1;2021;1;0;1;3;6; ;2254
274;28;1;2021;1;0;1;4;6; ;2254
274;28;1;2021;1;0;1;5;6; ;2254
274;28;1;2021;1;0;1;6;1;6;2254
327;68;1;2021;1;0;1;1;6; ;597
327;68;1;2021;1;0;1;2;6; ;597
327;68;1;2021;1;0;1;3;6; ;597
327;68;1;2021;1;0;1;4;6; ;597
327;68;1;2021;1;0;1;5;6; ;597
327;68;1;2021;1;0;1;6;6; ;597
486;27;1;2021;1;0;1;1;6; ;5764
486;27;1;2021;1;0;1;2;6; ;5764
486;27;1;2021;1;0;1;3;6; ;5764
486;27;1;2021;1;0;1;4;6; ;5764
486;27;1;2021;1;0;1;5;6; ;5764
486;27;1;2021;1;0;1;6;6; ;5764
621;5;1;2021;1;0;1;1;6; ;550
621;5;1;2021;1;0;1;2;6; ;550
621;5;1;2021;1;0;1;3;6; ;550
621;5;1;2021;1;0;1;4;6; ;550
621;5;1;2021;1;0;1;5;6; ;550
621;5;1;2021;1;0;1;6;6; ;550
621;10;1;2021;1;0;1;1;6; ;1419
621;10;1;2021;1;0;1;2;1;6;1419
621;10;1;2021;1;0;1;3;6; ;1419
621;10;1;2021;1;0;1;4;1;6;1419
621;10;1;2021;1;0;1;5;6; ;1419
621;10;1;2021;1;0;1;6;6; ;1419
621;18;1;2021;1;0;1;1;1;6;1918
621;18;1;2021;1;0;1;2;1;6;1918
621;18;1;2021;1;0;1;3;1;6;1918
621;18;1;2021;1;0;1;4;1;6;1918
621;18;1;2021;1;0;1;5;1;6;1918
621;18;1;2021;1;0;1;6;6; ;1918
621;27;1;2021;1;0;1;1;6; ;2103
621;27;1;2021;1;0;1;2;1;6;2103
621;27;1;2021;1;0;1;3;6; ;2103
621;27;1;2021;1;0;1;4;6; ;2103
621;27;1;2021;1;0;1;5;6; ;2103
621;27;1;2021;1;0;1;6;6; ;2103
621;48;1;2021;1;0;1;1;6; ;2129
621;48;1;2021;1;0;1;2;6; ;2129
621;48;1;2021;1;0;1;3;1;6;2129
621;48;1;2021;1;0;1;4;1;6;2129
621;48;1;2021;1;0;1;5;6; ;2129
621;48;1;2021;1;0;1;6;1;6;2129
622;16;1;2021;1;0;1;1;6; ;774
622;16;1;2021;1;0;1;2;6; ;774
622;16;1;2021;1;0;1;3;6; ;774
622;16;1;2021;1;0;1;4;6; ;774
622;16;1;2021;1;0;1;5;6; ;774
622;16;1;2021;1;0;1;6;6; ;774
622;19;1;2021;1;0;1;1;1;6;743
622;19;1;2021;1;0;1;2;6; ;743
622;19;1;2021;1;0;1;3;6; ;743
622;19;1;2021;1;0;1;4;6; ;743
622;19;1;2021;1;0;1;5;6; ;743
622;19;1;2021;1;0;1;6;6; ;743
622;27;1;2021;1;0;1;1;6; ;201
622;27;1;2021;1;0;1;2;6; ;201
622;27;1;2021;1;0;1;3;6; ;201
622;27;1;2021;1;0;1;4;6; ;201
622;27;1;2021;1;0;1;5;6; ;201
622;27;1;2021;1;0;1;6;6; ;201
622;28;1;2021;1;0;1;1;1;6;639
622;28;1;2021;1;0;1;2;1;6;639
622;28;1;2021;1;0;1;3;6; ;639
622;28;1;2021;1;0;1;4;6; ;639
622;28;1;2021;1;0;1;5;6; ;639
622;28;1;2021;1;0;1;6;6; ;639
805;25;1;2021;1;0;1;1;6; ;470
805;25;1;2021;1;0;1;2;6; ;470
805;25;1;2021;1;0;1;3;6; ;470
805;25;1;2021;1;0;1;4;6; ;470
805;25;1;2021;1;0;1;5;6; ;470
805;25;1;2021;1;0;1;6;6; ;470
805;38;1;2021;1;0;1;1;1;1;773
805;38;1;2021;1;0;1;2;6; ;773
805;38;1;2021;1;0;1;3;6; ;773
805;38;1;2021;1;0;1;4;6; ;773
805;38;1;2021;1;0;1;5;6; ;773
805;38;1;2021;1;0;1;6;6; ;773
805;51;1;2021;1;0;1;1;1;6;661
805;51;1;2021;1;0;1;2;1;6;661
805;51;1;2021;1;0;1;3;1;6;661
805;51;1;2021;1;0;1;4;6; ;661
805;51;1;2021;1;0;1;5;1;6;661
805;51;1;2021;1;0;1;6;1;6;661
853;1;1;2021;1;0;1;1;6; ;454
853;1;1;2021;1;0;1;2;6; ;454
853;1;1;2021;1;0;1;3;6; ;454
853;1;1;2021;1;0;1;4;6; ;454
853;1;1;2021;1;0;1;5;6; ;454
853;1;1;2021;1;0;1;6;6; ;454
853;10;1;2021;1;0;1;1;6; ;227
853;10;1;2021;1;0;1;2;6; ;227
853;10;1;2021;1;0;1;3;6; ;227
853;10;1;2021;1;0;1;4;6; ;227
853;10;1;2021;1;0;1;5;6; ;227
853;10;1;2021;1;0;1;6;6; ;227
853;22;1;2021;1;0;1;1;6; ;641
853;22;1;2021;1;0;1;2;6; ;641
853;22;1;2021;1;0;1;3;6; ;641
853;22;1;2021;1;0;1;4;6; ;641
853;22;1;2021;1;0;1;5;6; ;641
853;22;1;2021;1;0;1;6;6; ;641
853;53;1;2021;1;0;1;1;1;6;291
853;53;1;2021;1;0;1;2;1;6;291
853;53;1;2021;1;0;1;3;1;6;291
853;53;1;2021;1;0;1;4;1;6;291
853;53;1;2021;1;0;1;5;1;6;291
853;53;1;2021;1;0;1;6;6; ;291
853;80;1;2021;1;0;1;1;6; ;310
853;80;1;2021;1;0;1;2;6; ;310
853;80;1;2021;1;0;1;3;6; ;310
853;80;1;2021;1;0;1;4;6; ;310
853;80;1;2021;1;0;1;5;6; ;310
853;80;1;2021;1;0;1;6;6; ;310
895;13;1;2021;1;0;1;1;1;6;1578
895;13;1;2021;1;0;1;2;6; ;1578
895;13;1;2021;1;0;1;3;6; ;1578
895;13;1;2021;1;0;1;4;6; ;1578
895;13;1;2021;1;0;1;5;6; ;1578
895;13;1;2021;1;0;1;6;6; ;1578
901;41;1;2021;1;0;1;1;6; ;319
901;41;1;2021;1;0;1;2;6; ;319
901;41;1;2021;1;0;1;3;6; ;319
901;41;1;2021;1;0;1;4;6; ;319
901;41;1;2021;1;0;1;5;6; ;319
901;41;1;2021;1;0;1;6;6; ;319
901;57;1;2021;1;0;1;1;6; ;352
901;57;1;2021;1;0;1;2;1;6;352
901;57;1;2021;1;0;1;3;6; ;352
901;57;1;2021;1;0;1;4;1;6;352
901;57;1;2021;1;0;1;5;1;6;352
901;57;1;2021;1;0;1;6;6; ;352
1027;9;1;2021;1;0;1;1;6; ;498
1027;9;1;2021;1;0;1;2;6; ;498
1027;9;1;2021;1;0;1;3;6; ;498
1027;9;1;2021;1;0;1;4;6; ;498
1027;9;1;2021;1;0;1;5;6; ;498
1027;9;1;2021;1;0;1;6;6; ;498
1027;30;1;2021;1;0;1;1;6; ;355
1027;30;1;2021;1;0;1;2;1;6;355
1027;30;1;2021;1;0;1;3;6; ;355
1027;30;1;2021;1;0;1;4;6; ;355
1027;30;1;2021;1;0;1;5;6; ;355
1027;30;1;2021;1;0;1;6;1;6;355
1027;34;1;2021;1;0;1;1;1;6;414
