UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;L1007;P1007;P1008;P1009;P1010;FEX_MUJER
19;4;1;2021;1;0;1;1;6; ; ; ;459
19;4;1;2021;1;0;1;2;6; ; ; ;459
19;4;1;2021;1;0;1;3;6; ; ; ;459
19;4;1;2021;1;0;1;4;6; ; ; ;459
19;4;1;2021;1;0;1;5;6; ; ; ;459
19;4;1;2021;1;0;1;6;6; ; ; ;459
19;4;1;2021;1;0;1;7;6; ; ; ;459
19;4;1;2021;1;0;1;8;6; ; ; ;459
19;4;1;2021;1;0;1;9;6; ; ; ;459
19;4;1;2021;1;0;1;11;6; ; ; ;459
19;4;1;2021;1;0;1;12;6; ; ; ;459
19;4;1;2021;1;0;1;13;6; ; ; ;459
19;4;1;2021;1;0;1;14;6; ; ; ;459
19;4;1;2021;1;0;1;15;6; ; ; ;459
19;4;1;2021;1;0;1;16;6; ; ; ;459
19;4;1;2021;1;0;1;17;6; ; ; ;459
19;4;1;2021;1;0;1;18;6; ; ; ;459
19;4;1;2021;1;0;1;19;6; ; ; ;459
19;4;1;2021;1;0;1;20;6; ; ; ;459
19;4;1;2021;1;0;1;21;6; ; ; ;459
19;4;1;2021;1;0;1;22;6; ; ; ;459
19;4;1;2021;1;0;1;23;6; ; ; ;459
19;4;1;2021;1;0;1;24;6; ; ; ;459
19;11;1;2021;1;0;1;1;1;2;2;6;416
19;11;1;2021;1;0;1;2;6; ; ; ;416
19;11;1;2021;1;0;1;3;6; ; ; ;416
19;11;1;2021;1;0;1;4;6; ; ; ;416
19;11;1;2021;1;0;1;5;6; ; ; ;416
19;11;1;2021;1;0;1;6;6; ; ; ;416
19;11;1;2021;1;0;1;7;6; ; ; ;416
19;11;1;2021;1;0;1;8;6; ; ; ;416
19;11;1;2021;1;0;1;9;6; ; ; ;416
19;11;1;2021;1;0;1;11;6; ; ; ;416
19;11;1;2021;1;0;1;12;6; ; ; ;416
19;11;1;2021;1;0;1;13;6; ; ; ;416
19;11;1;2021;1;0;1;14;6; ; ; ;416
19;11;1;2021;1;0;1;15;6; ; ; ;416
19;11;1;2021;1;0;1;16;6; ; ; ;416
19;11;1;2021;1;0;1;17;6; ; ; ;416
19;11;1;2021;1;0;1;18;6; ; ; ;416
