UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;L1011;P1011;P1012;P1013;P1014;FEX_MUJER
19;6;1;2021;1;0;1;1;6; ; ; ;2343
19;6;1;2021;1;0;1;2;6; ; ; ;2343
19;6;1;2021;1;0;1;3;6; ; ; ;2343
19;6;1;2021;1;0;1;4;6; ; ; ;2343
19;6;1;2021;1;0;1;5;6; ; ; ;2343
19;6;1;2021;1;0;1;6;6; ; ; ;2343
19;6;1;2021;1;0;1;7;6; ; ; ;2343
19;6;1;2021;1;0;1;8;6; ; ; ;2343
19;6;1;2021;1;0;1;9;6; ; ; ;2343
19;6;1;2021;1;0;1;10;6; ; ; ;2343
19;6;1;2021;1;0;1;11;6; ; ; ;2343
19;6;1;2021;1;0;1;12;6; ; ; ;2343
19;6;1;2021;1;0;1;13;6; ; ; ;2343
19;6;1;2021;1;0;1;14;6; ; ; ;2343
19;6;1;2021;1;0;1;15;6; ; ; ;2343
19;6;1;2021;1;0;1;16;6; ; ; ;2343
19;6;1;2021;1;0;1;17;6; ; ; ;2343
19;6;1;2021;1;0;1;18;6; ; ; ;2343
19;6;1;2021;1;0;1;19;6; ; ; ;2343
19;6;1;2021;1;0;1;20;6; ; ; ;2343
19;6;1;2021;1;0;1;21;6; ; ; ;2343
19;6;1;2021;1;0;1;22;6; ; ; ;2343
19;6;1;2021;1;0;1;23;6; ; ; ;2343
19;6;1;2021;1;0;1;24;6; ; ; ;2343
74;26;1;2021;1;0;1;1;6; ; ; ;597
74;26;1;2021;1;0;1;2;6; ; ; ;597
74;26;1;2021;1;0;1;3;6; ; ; ;597
74;26;1;2021;1;0;1;4;6; ; ; ;597
74;26;1;2021;1;0;1;5;6; ; ; ;597
74;26;1;2021;1;0;1;6;6; ; ; ;597
74;26;1;2021;1;0;1;7;6; ; ; ;597
74;26;1;2021;1;0;1;8;6; ; ; ;597
74;26;1;2021;1;0;1;9;6; ; ; ;597
74;26;1;2021;1;0;1;10;6; ; ; ;597
74;26;1;2021;1;0;1;11;6; ; ; ;597
74;26;1;2021;1;0;1;12;6; ; ; ;597
74;26;1;2021;1;0;1;13;6; ; ; ;597
74;26;1;2021;1;0;1;14;6; ; ; ;597
74;26;1;2021;1;0;1;15;6; ; ; ;597
74;26;1;2021;1;0;1;16;6; ; ; ;597
74;26;1;2021;1;0;1;17;6; ; ; ;597
74;26;1;2021;1;0;1;18;6; ; ; ;597
74;26;1;2021;1;0;1;19;6; ; ; ;597
74;26;1;2021;1;0;1;20;6; ; ; ;597
74;26;1;2021;1;0;1;21;6; ; ; ;597
74;26;1;2021;1;0;1;22;6; ; ; ;597
74;26;1;2021;1;0;1;23;6; ; ; ;597
74;26;1;2021;1;0;1;24;6; ; ; ;597
74;60;1;2021;1;0;1;1;6; ; ; ;1412
74;60;1;2021;1;0;1;2;6; ; ; ;1412
74;60;1;2021;1;0;1;3;6; ; ; ;1412
74;60;1;2021;1;0;1;4;6; ; ; ;1412
74;60;1;2021;1;0;1;5;6; ; ; ;1412
74;60;1;2021;1;0;1;6;6; ; ; ;1412
74;60;1;2021;1;0;1;7;6; ; ; ;1412
74;60;1;2021;1;0;1;8;6; ; ; ;1412
74;60;1;2021;1;0;1;9;6; ; ; ;1412
74;60;1;2021;1;0;1;10;6; ; ; ;1412
74;60;1;2021;1;0;1;11;6; ; ; ;1412
74;60;1;2021;1;0;1;12;6; ; ; ;1412
74;60;1;2021;1;0;1;13;6; ; ; ;1412
74;60;1;2021;1;0;1;14;6; ; ; ;1412
74;60;1;2021;1;0;1;15;6; ; ; ;1412
74;60;1;2021;1;0;1;16;6; ; ; ;1412
74;60;1;2021;1;0;1;17;6; ; ; ;1412
74;60;1;2021;1;0;1;18;6; ; ; ;1412
74;60;1;2021;1;0;1;19;6; ; ; ;1412
74;60;1;2021;1;0;1;20;6; ; ; ;1412
74;60;1;2021;1;0;1;21;6; ; ; ;1412
74;60;1;2021;1;0;1;22;6; ; ; ;1412
74;60;1;2021;1;0;1;23;1;1;2;6;1412
74;60;1;2021;1;0;1;24;6; ; ; ;1412
183;27;1;2021;1;0;1;1;1;3;1;6;316
183;27;1;2021;1;0;1;2;6; ; ; ;316
183;27;1;2021;1;0;1;3;6; ; ; ;316
183;27;1;2021;1;0;1;4;6; ; ; ;316
183;27;1;2021;1;0;1;5;6; ; ; ;316
183;27;1;2021;1;0;1;6;6; ; ; ;316
183;27;1;2021;1;0;1;7;6; ; ; ;316
183;27;1;2021;1;0;1;8;6; ; ; ;316
183;27;1;2021;1;0;1;9;6; ; ; ;316
183;27;1;2021;1;0;1;10;6; ; ; ;316
183;27;1;2021;1;0;1;11;6; ; ; ;316
183;27;1;2021;1;0;1;12;6; ; ; ;316
183;27;1;2021;1;0;1;13;6; ; ; ;316
183;27;1;2021;1;0;1;14;6; ; ; ;316
183;27;1;2021;1;0;1;15;6; ; ; ;316
183;27;1;2021;1;0;1;16;6; ; ; ;316
183;27;1;2021;1;0;1;17;6; ; ; ;316
183;27;1;2021;1;0;1;18;6; ; ; ;316
183;27;1;2021;1;0;1;19;6; ; ; ;316
183;27;1;2021;1;0;1;20;6; ; ; ;316
183;27;1;2021;1;0;1;21;6; ; ; ;316
183;27;1;2021;1;0;1;22;6; ; ; ;316
183;27;1;2021;1;0;1;23;6; ; ; ;316
183;27;1;2021;1;0;1;24;6; ; ; ;316
222;38;1;2021;1;0;1;1;6; ; ; ;482
222;38;1;2021;1;0;1;2;6; ; ; ;482
222;38;1;2021;1;0;1;3;6; ; ; ;482
222;38;1;2021;1;0;1;4;6; ; ; ;482
222;38;1;2021;1;0;1;5;1;3;3;1;482
222;38;1;2021;1;0;1;6;1;3;3;1;482
222;38;1;2021;1;0;1;7;6; ; ; ;482
222;38;1;2021;1;0;1;8;6; ; ; ;482
222;38;1;2021;1;0;1;9;6; ; ; ;482
222;38;1;2021;1;0;1;10;6; ; ; ;482
222;38;1;2021;1;0;1;11;6; ; ; ;482
222;38;1;2021;1;0;1;12;6; ; ; ;482
222;38;1;2021;1;0;1;13;6; ; ; ;482
222;38;1;2021;1;0;1;14;6; ; ; ;482
222;38;1;2021;1;0;1;15;6; ; ; ;482
222;38;1;2021;1;0;1;16;6; ; ; ;482
222;38;1;2021;1;0;1;17;6; ; ; ;482
222;38;1;2021;1;0;1;18;6; ; ; ;482
222;38;1;2021;1;0;1;19;6; ; ; ;482
222;38;1;2021;1;0;1;20;6; ; ; ;482
222;38;1;2021;1;0;1;21;6; ; ; ;482
222;38;1;2021;1;0;1;22;6; ; ; ;482
222;38;1;2021;1;0;1;23;6; ; ; ;482
222;38;1;2021;1;0;1;24;6; ; ; ;482
222;41;1;2021;1;0;1;1;6; ; ; ;520
222;41;1;2021;1;0;1;2;6; ; ; ;520
222;41;1;2021;1;0;1;3;1;2;2;6;520
222;41;1;2021;1;0;1;4;1;2;2;6;520
222;41;1;2021;1;0;1;5;1;3;2;6;520
222;41;1;2021;1;0;1;6;1;2;1;6;520
222;41;1;2021;1;0;1;7;1;3;1;6;520
222;41;1;2021;1;0;1;8;6; ; ; ;520
222;41;1;2021;1;0;1;9;1;3;1;6;520
222;41;1;2021;1;0;1;10;6; ; ; ;520
222;41;1;2021;1;0;1;11;1;3;2;6;520
222;41;1;2021;1;0;1;12;1;1;1;6;520
222;41;1;2021;1;0;1;13;6; ; ; ;520
222;41;1;2021;1;0;1;14;6; ; ; ;520
222;41;1;2021;1;0;1;15;1;2;1;6;520
222;41;1;2021;1;0;1;16;1;2;2;6;520
222;41;1;2021;1;0;1;17;1;2;2;6;520
222;41;1;2021;1;0;1;18;1;2;2;6;520
222;41;1;2021;1;0;1;19;1;1;2;6;520
222;41;1;2021;1;0;1;20;6; ; ; ;520
222;41;1;2021;1;0;1;21;6; ; ; ;520
222;41;1;2021;1;0;1;22;6; ; ; ;520
222;41;1;2021;1;0;1;23;1;2;3;6;520
222;41;1;2021;1;0;1;24;6; ; ; ;520
222;43;1;2021;1;0;1;1;6; ; ; ;463
222;43;1;2021;1;0;1;2;6; ; ; ;463
222;43;1;2021;1;0;1;3;6; ; ; ;463
222;43;1;2021;1;0;1;4;6; ; ; ;463
222;43;1;2021;1;0;1;5;6; ; ; ;463
222;43;1;2021;1;0;1;6;6; ; ; ;463
222;43;1;2021;1;0;1;7;6; ; ; ;463
222;43;1;2021;1;0;1;8;6; ; ; ;463
222;43;1;2021;1;0;1;9;6; ; ; ;463
222;43;1;2021;1;0;1;10;6; ; ; ;463
222;43;1;2021;1;0;1;11;6; ; ; ;463
222;43;1;2021;1;0;1;12;6; ; ; ;463
222;43;1;2021;1;0;1;13;6; ; ; ;463
222;43;1;2021;1;0;1;14;6; ; ; ;463
222;43;1;2021;1;0;1;15;6; ; ; ;463
222;43;1;2021;1;0;1;16;6; ; ; ;463
222;43;1;2021;1;0;1;17;6; ; ; ;463
222;43;1;2021;1;0;1;18;6; ; ; ;463
222;43;1;2021;1;0;1;19;6; ; ; ;463
222;43;1;2021;1;0;1;20;6; ; ; ;463
222;43;1;2021;1;0;1;21;6; ; ; ;463
222;43;1;2021;1;0;1;22;6; ; ; ;463
222;43;1;2021;1;0;1;23;6; ; ; ;463
222;43;1;2021;1;0;1;24;6; ; ; ;463
274;1;1;2021;1;0;1;1;1;3;2;6;1270
274;1;1;2021;1;0;1;2;1;3;2;6;1270
274;1;1;2021;1;0;1;3;6; ; ; ;1270
274;1;1;2021;1;0;1;4;1;2;2;6;1270
274;1;1;2021;1;0;1;5;6; ; ; ;1270
274;1;1;2021;1;0;1;6;6; ; ; ;1270
274;1;1;2021;1;0;1;7;6; ; ; ;1270
