UPM;NVIVI;NHOGA;ANIO;AREA;DPTOV;ESTGEO;P1100;P1101_1;P1101_2;P1101_3;P1101_4;P1101_5;P1101_6;P1101_7;P1101_8;P1101_9;P1101_10;P1101_99;P1102;P1103;P1104_1;P1104_2;P1104_3;P1104_4;P1104_5;P1104_6;P1104_7;P1104_8;P1104_9;P1104_10;P1104_11;P1104_99;P1105;P1106_1;P1106_2;P1106_3;P1106_4;P1106_5;P1106_6;P1106_7;P1106_8;P1106_9;P1106_10;P1106_11;P1106_12;P1106_13;P1106_14;P1106_15;P1106_16;P1106_17;P1106_99;P1107A;P1107B;P1108;P1109_1;P1109_2;P1109_3;P1109_4;P1109_5;P1109_6;P1109_7;P1109_8;P1109_9;P1109_10;P1109_11;P1109_12;P1109_13;P1109_99;P1110;P1111_1;P1111_2;P1111_3;P1111_4;P1111_5;P1111_9;P1112_1;P1112_2;P1112_3;P1112_4;P1112_5;P1112_6;P1112_7;P1112_9;P1113_1;P1113_2;P1113_3;P1113_4;P1113_5;P1113_6;P1113_7;P1113_8;P1113_9;P1114_1;P1114_2;P1114_3;P1114_4;P1114_5;P1114_6;P1114_7;P1114_8;P1114_9;P1114_10;P1114_11;P1114_12;P1114_99;P1115;P1116;P1117;P1118;P1119_1;P1119_2;P1119_3;P1119_4;P1119_5;P1119_6;P1119_7;P1119_8;P1119_9;P1119_10;P1119_11;P1119_12;P1119_99;P1120A;P1120B;P1120C;P1120D;P1120E;P1120F;P1121;P1122;FEX_MUJER
19;4;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;459
19;6;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;1; ; ; ; ; ; ; ; ; ;10; ; ;6; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ;1;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ; ; ; ;6; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;2343
19;11;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ;8; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ;14; ; ; ; ;6;6;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ; ;6; ;1;5; ; ; ; ; ; ; ; ; ;10; ; ; ;3;3;3;3;3;3;1;3;416
19;19;1;2021;1;0;1; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1310
19;20;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;543
74;7;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
74;26;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;597
74;44;1;2021;1;0;1;1;1; ; ; ; ; ; ; ; ; ; ; ; ; ;2; ; ; ;6;7; ; ; ; ; ;6; ; ; ; ; ;6; ; ; ; ; ; ; ;14;15; ; ; ;6;6;1; ; ; ; ; ; ; ; ; ; ;11; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ;8;9; ; ; ; ;6; ;1;4; ;2; ;4; ; ;7; ;9; ; ; ; ;3;3;3;3;3;3;1;4;2821
74;56;1;2021;1;0;1;6; ; ; ; ; ; ; ; ; ; ; ;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;796
74;60;1;2021;1;0;1;1; ; ; ; ; ; ; ; ;9; ; ; ; ; ; ; ; ; ; ; ; ; ;10; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;16; ; ;6;1;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;7; ; ; ;11; ; ;6; ;6; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ; ;1412
